"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Sidebar Switch Class opens Switch Classes / Select Your Class destination.","24373","TC_DASH_008: Sidebar Switch Class opens Switch Classes UI","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"","21","TC_LEADERBOARD_006: Weekly tab is clickable and page stays stable","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"User Avatar image and Change profile picture button visible on Profile.","39382","TC_PROFILE_002: User Avatar and Change profile picture button are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Enroll in New Course is visible under the Manage Enrollments heading.","31491","TC_ENROLL_003: Enroll in New Course button is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"CTA text ""Watch How It Works"" is visible on the homepage.","9070","TC_HOME_027: ""Watch How It Works"" text is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"","19789","TC-045: Back to Home redirects correctly","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Positive - Navigation","specs\loginPage.spec.js","",""
"Create Account button visible.","25633","TC_SIGNUP_013: Create Account button is visible on page load","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"User Options button clickable without crash.","36006","TC_PROFILE_016: User Options button is clickable without crash","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Hero CTA Start Learning — It's Free routes user to registration or catalog.","60311","TC_HOME_002: Start Learning — It's Free navigates to registration or catalog","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Rapid double-click of Digital School Let's Start! still lands on a stable Digital School catalog.","37212","TC_EXPLORE_008: Double-click on Digital School Let's Start! does not break navigation","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"","42546","TC-037: Email at maximum valid length is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Boundary - Email","specs\loginPage.spec.js","",""
"OTS Logo and subheading text visible.","23754","TC_SIGNUP_002: OTS Logo and subheading are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"","21","TC_LEADERBOARD_005: Global tab is clickable and page stays stable","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"Browse Chapters CTA button is visible and clickable in empty state.","23660","TC_FAVCHAP_012: Browse Chapters button is visible in empty state","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"","43874","TC-028: Email with multiple at-signs is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Email Format","specs\loginPage.spec.js","",""
"Navigate via Profile Settings > Change Password; heading and email input visible.","42712","TC_CHGPWD_001: Change Password page loads with heading and email field visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
"Header Reels link opens immersive reels player with scroll hint or video element.","42400","TC_REELS_001: Navigate via Reels nav loads the Reels experience","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"Footer Stay Updated copy and platform tagline are visible.","13397","TC_HOME_023: Footer Stay Updated and platform tagline are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Educational Network channel links and Subscribe Our Channels are reachable.","94673","TC_HOME_022: Educational Network channel links are reachable","chromium","2026-08-21","broken","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"After Back to home, user can re-enter Reels via nav without broken state.","51788","TC_REELS_009: Re-entering Reels via nav after Back to home works","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"","44163","TC-023: Remember me can remain unchecked for normal session","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Positive - Session","specs\loginPage.spec.js","",""
"Quiz Attempts by Chapter heading is visible on the page.","19389","TC_QUIZTRACKING_012: Quiz Attempts by Chapter section heading is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"Logged-in student opens Manage Enrollments from sidebar Enrollments and sees the heading.","33733","TC_ENROLL_001: Authenticated student opens Manage Enrollments via sidebar Enrollments","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"Start Learning redirects to course-details or equivalent.","43025","TC_SWITCH_009: Start Learning navigates to subject module","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"Logged-in student reaches Leaderboard with heading, subtitle, and class context visible.","76561","TC_LEADERBOARD_001: Authenticated student lands on Leaderboard with key chrome visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"On mobile viewport, search and primary hero CTA remain reachable.","42567","TC_HOME_025: Mobile viewport keeps hero CTA and search reachable","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"","20","TC_LEADERBOARD_002: Page heading and subtitle description are visible","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"Double-clicking nav icon does not crash or blank the player.","9815","TC_REELS_008: Double-click Navigation Icon (SVG) does not break the feed","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"Clicking Class selector keeps Your Progress and My Subjects visible.","47839","TC_SWITCH_003: Class selector button is clickable and page remains stable","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"","55925","TC-069: Login page is usable on desktop viewport","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - Responsive","specs\loginPage.spec.js","",""
"City, Country, Phone Number accept typed input.","53570","TC_PROFILE_007: City, Country, and Phone Number fields are editable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"","22098","TC-019: Sign up for free redirects new user to registration","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Onboarding","specs\loginPage.spec.js","",""
"Different Create/Confirm passwords; observe behavior.","25492","TC_SIGNUP_011: Password mismatch edge case","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"","31859","TC-013: Repeated failed sign-in attempts trigger rate limiting or lockout","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Security","specs\loginPage.spec.js","",""
"Settings tab shows Account Settings heading and Change Password.","20124","TC_PROFILE_011: Settings tab loads Account Settings heading and Change Password button","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Brittle nth(1) button is clickable without crash (unclear purpose).","24520","TC_FAVCHAP_009: Secondary action button is present and clickable without crash","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"","35945","TC-009: Valid email with invalid password is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Authentication","specs\loginPage.spec.js","",""
"Course count badge ""100+ Courses"" is visible on the homepage.","12155","TC_HOME_029: Course count badge ""100+ Courses"" is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Video element CSS target is visible and clickable on reels player.","7564","TC_REELS_002: Video container or video element is visible and interactable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"Skills Academy heading and Let's Start! button are visible on Explore hub.","24377","TC_EXPLORE_004: Skills Academy heading and Let's Start! are visible on Explore hub","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"Exact Start Learning link (not hero CTA) navigates to learning/start destination.","109736","TC_HOME_021: Section Start Learning link navigates correctly","chromium","2026-08-21","broken","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Empty First Name + Update does not crash; validation behavior observed.","26868","TC_PROFILE_015: Clearing First Name and clicking Update my Profile","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Sidebar Leaderboard opens Leaderboard heading / URL.","24298","TC_DASH_011: Sidebar Leaderboard opens Leaderboard","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Sign in link redirects to /login.","32457","TC_SIGNUP_008: Sign in link navigates to login page","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"Open Chapter button visible confirming favorited chapter cards are rendered.","43182","TC_FAVCHAP_003: Open Chapter button is visible when chapters exist","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"Submitting an empty search keeps the homepage stable.","60333","TC_HOME_004: Empty search query does not crash the homepage","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Refreshing reels view keeps scroll hint or video element visible.","21826","TC_REELS_007: Soft refresh keeps Reels player usable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"Unauthenticated user opens the homepage and sees the hero value proposition content.","20378","TC_HOME_001: Homepage loads with hero value proposition visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"","34241","TC-011: Invalid email and invalid password are rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Authentication","specs\loginPage.spec.js","",""
"","57663","TC-039: Email local part at 64 characters is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Boundary - Email","specs\loginPage.spec.js","",""
"Digital School category links navigate to grade catalogs.","83170","TC_HOME_012: Digital School category links open grade catalogs","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Direct quiz-tracking access without session redirects to login.","11155","TC_QUIZTRACKING_010: Unauthenticated access does not show quiz data","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","59803","TC-031: Whitespace-only password is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Required Fields","specs\loginPage.spec.js","",""
"","50106","TC-041: Password below minimum length is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Boundary - Password","specs\loginPage.spec.js","",""
"Date of Birth label and input are visible on Personal Info tab.","35096","TC_PROFILE_017: Date of Birth field is visible on Personal Info tab","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"","42516","TC-038: Email above maximum length is rejected gracefully","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Boundary - Email","specs\loginPage.spec.js","",""
"After Carousel view, Scroll Left/Right are clickable without breaking My Subjects.","36308","TC_DASH_007: Scroll Left / Scroll Right move the subjects carousel","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Logged-in student reaches Favorite Chapters with main heading visible.","18424","TC_FAVCHAP_001: Authenticated student lands on Favorite Chapters with heading visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"Manage Enrollments heading and View and manage your course subtitle are visible.","23583","TC_ENROLL_002: Heading and subtitle are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"Direct manage-enrollment access without session redirects to login and hides student content.","15746","TC_ENROLL_008: Unauthenticated access to Manage Enrollments does not show student content","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"","1919","TC-004: Google authentication succeeds for authorized user","chromium","2026-08-21","skipped","2026-08-21","Login Page > P0 - Positive - Social Sign-In","specs\loginPage.spec.js","",""
"Skilled Courses links navigate to practical modules.","81700","TC_HOME_013: Skilled course links open practical modules","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"","45079","TC-035: Cancelled Google authentication returns user safely","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Social Sign-In","specs\loginPage.spec.js","",""
"","16016","TC-064: Terms of Service link opens correctly","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - Positive - Legal Link","specs\loginPage.spec.js","",""
"Clicking Open Chapter navigates away from Favorite Chapters to a lesson page.","41020","TC_FAVCHAP_004: Open Chapter button navigates to lesson page","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"","20","TC_LEADERBOARD_007: Filter by label and filter container are visible","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"Direct Dashboard access without session redirects to login and hides student content.","11536","TC_DASH_013: Unauthenticated access to Dashboard does not show student My Subjects","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"","17464","TC-054: Unauthenticated direct dashboard access is blocked","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Negative - Authorization","specs\loginPage.spec.js","",""
"Logged-in student reaches Quiz Tracking with back bar, heading, and description visible.","19045","TC_QUIZTRACKING_001: Authenticated student lands on Quiz Tracking with page chrome visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","58394","TC-044: Password above maximum length is rejected gracefully","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Boundary - Password","specs\loginPage.spec.js","",""
"Clicking Sort By keeps page heading visible.","24877","TC_QUIZTRACKING_005: Sort By dropdown is clickable and page stays stable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","47291","TC-005: Already-authenticated user reaches dashboard instead of login loop","chromium","2026-08-21","failed","2026-08-21","Login Page > P0 - Positive - Session","specs\loginPage.spec.js","",""
"","21","TC_LEADERBOARD_008: Filter container is clickable and page stays stable","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"Current Enrollments heading is visible on Manage Enrollments page.","29047","TC_ENROLL_010: Current Enrollments heading is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"All three fields accept typed input.","53648","TC_SIGNUP_005: Email and password fields accept typed input","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"Empty email + Send OTP does not transition to Verification OTP.","45177","TC_CHGPWD_007: Send OTP with empty email field","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
"Explore header nav routes to Explore content/destination.","55032","TC_HOME_007: Explore nav reaches explore destination","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"","25375","TC-030: Whitespace-only email is treated as empty","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Required Fields","specs\loginPage.spec.js","",""
"","21","TC_LEADERBOARD_010: Soft refresh keeps Leaderboard chrome visible","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"","12596","TC-018: Forgot Password redirects to recovery page","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Recovery","specs\loginPage.spec.js","",""
"Enroll in New Course redirects to /dashboard/explore catalog.","32138","TC_ENROLL_004: Enroll in New Course redirects to course catalog","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"","11921","TC-066: Continue with email separator is visible and non-interfering","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - UI - Content","specs\loginPage.spec.js","",""
"Watch video opens lecture dialog without crash; Close is available if modal.","43220","TC_SWITCH_008: Watch video opens learning / video experience","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"Watch video opens the lecture dialog / learning experience without crash.","36274","TC_DASH_004: Watch video navigates to learning / video experience","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Refreshing Quiz Tracking keeps headings visible.","29301","TC_QUIZTRACKING_009: Soft refresh keeps Quiz Tracking chrome visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"Header menu Register menuitem opens registration/sign-up.","80774","TC_HOME_010: Register menuitem opens registration path","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Profile completion percentage text is visible.","73685","TC_PROFILE_018: Profile completion percentage is displayed","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Verification OTP heading and We have sent subtext visible.","49517","TC_CHGPWD_005: Verification OTP heading and subtext are visible after Send OTP","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
"Get Start link initiates registration/onboarding (selector name differs from userflow Get Started).","60237","TC_HOME_017: Get Start link initiates onboarding / registration","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Footer Stay Updated email input field is visible on Explore.","13669","TC_EXPLORE_013: Footer Stay Updated email field is present","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"How It Works onboarding narrative steps are visible on the homepage.","56220","TC_HOME_016: How It Works learning-flow steps are visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Logged-in student reaches Switch Classes with Back, Switch Classes heading, and Select Your Class visible.","53106","TC_SWITCH_001: Authenticated student lands on Switch Classes with key chrome visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"Send OTP accepts click with valid email; page transitions without crash.","44073","TC_CHGPWD_003: Send OTP button is visible and clickable with valid email","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
"All three gender option labels visible.","16348","TC_PROFILE_005: Gender radio labels (Male, Female, Other) are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Header nav elements Home link, Reels text, Meet Our Team text are visible on Explore.","14819","TC_EXPLORE_010: Header navigation links Home, Reels, Meet Our Team are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"","21","TC_LEADERBOARD_009: Toggle between Global and Weekly keeps Leaderboard usable","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"","55249","TC-012: Locked, disabled, or inactive account cannot sign in","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Authorization","specs\loginPage.spec.js","",""
"Clicking scroll hint advances feed without crash.","31104","TC_REELS_004: Clicking Scroll Trigger advances the feed to the next reel","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"","60573","TC-040: Email local part above 64 characters is rejected gracefully","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Boundary - Email","specs\loginPage.spec.js","",""
"My Subjects heading, enrolled count, Watch video and Start Learning are present.","44314","TC_SWITCH_005: My Subjects section and enrolled count are visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"Continue with Google button visible.","43737","TC_SIGNUP_014: Continue with Google button is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"","6927","TC-062: Snail illustration speeds up on hover","chromium","2026-08-21","skipped","2026-08-21","Login Page > P3 - Micro-interaction","specs\loginPage.spec.js","",""
"","48469","TC-001: Direct sign-in succeeds with valid email and password","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Positive - Primary Path","specs\loginPage.spec.js","",""
"","77244","TC-048: Sign In loading state prevents duplicate submissions","chromium","2026-08-21","failed","2026-08-21","Login Page > P2 - Edge - Submission","specs\loginPage.spec.js","",""
"Quiz Performance Tracking heading and description text are visible.","18394","TC_QUIZTRACKING_002: Page heading and description text are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"Feedback link is visible in the sidebar.","26161","TC_DASH_019: Feedback sidebar link is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Terms checkbox text, Terms link, Privacy Policy link visible.","41710","TC_SIGNUP_006: Terms checkbox text and links are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"Direct change-course access without session redirects to login.","11528","TC_SWITCH_012: Unauthenticated access to change-course does not show student content","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"","39736","TC-024: User can paste email and password","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Positive - Input Handling","specs\loginPage.spec.js","",""
"Favorite Chapters heading and header container are visible.","31047","TC_FAVCHAP_002: Page heading and header container are present","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"","21","TC_LEADERBOARD_012: Filter options All Subjects, By Subject, and By Chapter are visible","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"","18292","TC-008: Sign-in is blocked when password is empty","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Required Fields","specs\loginPage.spec.js","",""
"Clicking Skills Academy Let's Start! redirects to /explore/skilledbased.","41715","TC_EXPLORE_005: Skills Academy Let's Start! redirects to Skills Academy catalog","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"","20","TC_LEADERBOARD_004: Global and Weekly tabs are visible","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"Email Address* label and textbox both visible.","39950","TC_CHGPWD_002: Email Address label and textbox are present","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
